종목명,종목코드,기사날짜,기사제목,기사링크,긍정확률,부정확률,대상기업,산업분류,분석일시,감성분류
레인보우로보틱스,277810,2024-12-31,"삼성전자, 레인보우로보틱스 최대주주로…미래로봇추진단도 신설",https://www.apnews.kr/news/articleView.html?idxno=3029251,0.367,0.633,레인보우로보틱스,일반,2025-09-20 17:38:27,부정
레인보우로보틱스,277810,2024-12-31,"삼성전자, 레인보우로보틱스 자회사 편입...AI 휴머노이드 로봇 사업 본...",https://www.digitaltoday.co.kr/news/articleView.html?idxno=547797,0.5731,0.4269,레인보우로보틱스,일반,2025-09-20 17:39:40,긍정
휴맥스,115160,2024-12-31,"전자제품 상장기업 12월 브랜드평판... LG전자, 아남전자, 휴맥스 順",https://www.energy-news.co.kr/news/articleView.html?idxno=209335,0.5107,0.4893,휴맥스,일반,2025-09-20 17:39:53,긍정
휴맥스,115160,2024-12-31,"전자제품 상장기업 2024년 12월 브랜드평판... 1위 LG전자, 2위 아남전자...",https://www.thefairnews.co.kr/news/articleView.html?idxno=38733,0.3578,0.6422,휴맥스,일반,2025-09-20 17:42:43,부정
휴맥스,115160,2024-12-31,"전자제품 상장기업 브랜드평판 12월 1위 LG전자, 2위 아남전자, 3위 휴맥...",https://www.pinpointnews.co.kr/news/articleView.html?idxno=310060,0.5954,0.4046,휴맥스,일반,2025-09-20 17:42:06,긍정
휴맥스,115160,2024-12-31,"[브랜드평판] LG전자, 전자제품 상장기업 12월 1위···아남전자·휴맥...",https://www.enetnews.co.kr/news/articleView.html?idxno=33276,0.6476,0.3524,휴맥스,일반,2025-09-20 17:39:56,긍정
휴맥스,115160,2024-12-31,"[브랜드평판] 전자제품 상장기업 2024년 12월 빅데이터 1위 LG전자, 2위 ...",https://www.cbci.co.kr/news/articleView.html?idxno=481254,0.5313,0.4687,휴맥스,일반,2025-09-20 17:38:54,긍정
휴림로봇,090710,2024-12-31,"로봇 상장기업 2024년 12월 브랜드평판... 1위 두산, 2위 신성델타테크,...",https://www.thefairnews.co.kr/news/articleView.html?idxno=38734,0.3578,0.6422,휴림로봇,일반,2025-09-20 17:42:43,부정
휴림로봇,090710,2024-12-31,"로봇 상장기업 12월 브랜드평판... 두산, 신성델타테크, 휴림로봇 順",https://www.energy-news.co.kr/news/articleView.html?idxno=209336,0.5107,0.4893,휴림로봇,일반,2025-09-20 17:39:53,긍정
휴림로봇,090710,2024-12-31,"[브랜드평판] 두산, 로봇 상장기업 12월 1위···신성델타테크·휴림로...",https://www.enetnews.co.kr/news/articleView.html?idxno=33278,0.6476,0.3524,휴림로봇,일반,2025-09-20 17:39:56,긍정
휴림로봇,090710,2024-12-31,"로봇 상장기업 브랜드평판 12월 1위 두산, 2위 신성델타테크, 3위 휴림로...",https://www.pinpointnews.co.kr/news/articleView.html?idxno=310061,0.5954,0.4046,휴림로봇,일반,2025-09-20 17:42:06,긍정
휴림로봇,090710,2024-12-31,"[브랜드평판] 로봇 상장기업 2024년 12월 빅데이터 1위 두산, 2위 신성델...",https://www.cbci.co.kr/news/articleView.html?idxno=481255,0.5313,0.4687,휴림로봇,일반,2025-09-20 17:38:54,긍정
NPC,004250,2024-12-31,"엑스테리오, 레카와 사용자 감정 읽는 게임 내 NPC 개발 나서",http://www.smedaily.co.kr/news/articleView.html?idxno=313599,0.6416,0.3584,NPC,일반,2025-09-20 17:21:21,긍정
아세아,002030,2024-12-31,"아세아항공직업전문학교 ""경찰공무원 시험 알아보는 수험생들 지원""",http://www.smarttimes.co.kr/news/articleView.html?idxno=27720,0.5,0.5,아세아,일반,2025-09-20 17:21:19,부정
광동헬스바이오,086220,2024-12-31,"고활성 API 혁신기업 애거슨바이오, 총 60억 원 투자유치",https://n.news.naver.com/mnews/article/008/0005135270?sid=101,0.6483,0.3517,광동헬스바이오,일반,2025-09-20 17:26:57,긍정
아이앤씨,052860,2024-12-31,"신세계아이앤씨, ‘스파로스 CMP’ 국가정보원 주관 보안기능 확인서 획...",https://www.healthinnews.co.kr/view.php?ud=2024123114151515c2fe677a63_48,0.628,0.372,아이앤씨,일반,2025-09-20 17:40:22,긍정
아이앤씨,052860,2024-12-31,"신세계아이앤씨 '스파로스 CMP', 보안기능 확인서 획득",https://www.datanet.co.kr/news/articleView.html?idxno=198890,0.5872,0.4128,아이앤씨,일반,2025-09-20 17:39:33,긍정
아이앤씨,052860,2024-12-31,"신세계아이앤씨 '스파로스 CMP', 국가정보원 주관 보안기능 확인서 획득",https://www.dailysecu.com/news/articleView.html?idxno=162613,0.36,0.64,아이앤씨,일반,2025-09-20 17:39:14,부정
아이앤씨,052860,2024-12-31,"신세계아이앤씨, 국정원 보안기능 확인서 획득",https://n.news.naver.com/mnews/article/016/0002409663?sid=105,0.4751,0.5249,아이앤씨,일반,2025-09-20 17:29:30,부정
