firm_id,종목코드
0,[6840]
1,[139050]
2,[126600]
3,[79160]
4,[35760]
5,[120]
6,[11150]
7,[375500]
8,[17860]
9,[37370]
10,[214270]
11,[114090]
12,[7070]
13,[440290]
14,[267250]
15,[443060]
16,[71970]
17,[322000]
18,[267260]
19,[329180]
20,[46210]
21,[35000]
22,[487570]
23,[442770]
24,[448760]
25,[469480]
26,[234080]
27,[24840]
28,[2550]
29,[464680]
30,[492220]
31,[9440]
32,[119650]
33,[226360]
34,[111870]
35,[33180]
36,[1940]
37,[40]
38,[44450]
39,[58860]
40,[43610]
41,[52900]
42,[61970]
43,[64400]
44,[32640]
45,[66570]
46,[79550]
47,[225190]
48,[60370]
49,[417200]
50,[229640]
51,[1120]
52,[476080]
53,[23150]
54,[35420]
55,[60250]
56,[400760]
57,[34310]
58,[30190]
59,[222160]
60,[1340]
61,[218410]
62,[327260]
63,[16250]
64,[5090]
65,[33530]
66,[357880]
67,[1740]
68,[302440]
69,[402340]
70,[1510]
71,[472230]
72,[48550]
73,[5610]
74,[89230]
75,[7980]
76,[35250]
77,[114190]
78,[53950]
79,[2100]
80,[214390]
81,[13580]
82,[12200]
83,[950190]
84,[98460]
85,[366030]
86,[421800]
87,[489210]
88,[7690]
89,[60000]
90,[1140]
91,[6050]
92,[60480]
93,[78130]
94,[402490]
95,[114450]
96,[900070]
97,[204620]
98,[19660]
99,[2990]
100,[73240]
101,[49080]
102,[247660]
103,[91970]
104,[417010]
105,[405920]
106,[51490]
107,[293580]
108,[36800]
109,[4270]
110,[25860]
111,[168330]
112,[7390]
113,[33640]
114,[89140]
115,[396270]
116,[348210]
117,[92790]
118,[251270]
119,[106520]
120,[69140]
121,[348340]
122,[123840]
123,[64260]
124,[23590]
125,[323350]
126,[48470]
127,[6570]
128,[65150]
129,[117580]
130,[47040]
131,[3090]
132,[69620]
133,[3220]
134,[2880]
135,[3310]
136,[1440]
137,[213420]
138,[77360]
139,[90410]
140,[373160]
141,[145720]
142,[100130]
143,[5160]
144,[303810]
145,[1230]
146,[88130]
147,[282690]
148,[79960]
149,[111380]
150,[32960]
151,[5290]
152,[454910]
153,[16740]
154,[176750]
155,[30350]
156,[35430]
157,[477760]
158,[489730]
159,[347850]
160,[376300]
161,[66900]
162,[104460]
163,[131180]
164,[315640]
165,[462510]
166,[42510]
167,[232680]
168,[388790]
169,[443250]
170,[90360]
171,[400]
172,[5300]
173,[11170]
174,[71840]
175,[474170]
176,[141080]
177,[16100]
178,[377450]
179,[267980]
180,[100590]
181,[215200]
182,[235980]
183,[41920]
184,[14100]
185,[86900]
186,[78160]
187,[60]
188,[118000]
189,[17180]
190,[434480]
191,[417970]
192,[12860]
193,[333050]
194,[463480]
195,[38340]
196,[7120]
197,[477380]
198,[85620]
199,[6800]
200,[201490]
201,[475460]
202,[301300]
203,[86820]
204,[308080]
205,[43150]
206,[46310]
207,[331520]
208,[199480]
209,[438700]
210,[206400]
211,[457600]
212,[250000]
213,[3850]
214,[439580]
215,[33560]
216,[148140]
217,[413640]
218,[473370]
219,[230980]
220,[138580]
221,[50090]
222,[307870]
223,[32850]
224,[451250]
225,[143240]
226,[466410]
227,[8040]
228,[14710]
229,[452430]
230,[419120]
231,[419050]
232,[448730]
233,[6400]
234,[425290]
235,[28260]
236,[207940]
237,[18260]
238,[5930]
239,[29780]
240,[810]
241,[482630]
242,[2810]
243,[65570]
244,[4440]
245,[520]
246,[9770]
247,[32750]
248,[38500]
249,[10960]
250,[4450]
251,[452670]
252,[1290]
253,[91580]
254,[42940]
255,[42600]
256,[411080]
257,[378800]
258,[79650]
259,[19770]
260,[31210]
261,[178320]
262,[86710]
263,[11300]
264,[43260]
265,[188260]
266,[340440]
267,[17510]
268,[4490]
269,[396300]
270,[3030]
271,[24830]
272,[67830]
273,[331920]
274,[352770]
275,[318160]
276,[258790]
277,[84180]
278,[115570]
279,[415380]
280,[26890]
281,[269620]
282,[418250]
283,[131090]
284,[462870]
285,[29530]
286,[4970]
287,[1000]
288,[25870]
289,[65350]
290,[11930]
291,[31440]
292,[162300]
293,[290560]
294,[472220]
295,[2700]
296,[138070]
297,[487360]
298,[487830]
299,[32710]
300,[4080]
301,[222800]
302,[356890]
303,[217330]
304,[102280]
305,[4770]
306,[222420]
307,[88280]
308,[50890]
309,[109670]
310,[264660]
311,[297090]
312,[112610]
313,[125210]
314,[90430]
315,[357580]
316,[74430]
317,[12170]
318,[450950]
319,[127710]
320,[20560]
321,[460470]
322,[461300]
323,[368600]
324,[464500]
325,[212710]
326,[3560]
327,[462980]
328,[114840]
329,[139990]
330,[9320]
331,[11400]
332,[297570]
333,[148250]
334,[123750]
335,[85810]
336,[293780]
337,[92600]
338,[217480]
339,[389500]
340,[95910]
341,[112240]
342,[56190]
343,[10580]
344,[460870]
345,[365330]
346,[25530]
347,[398120]
348,[33630]
349,[288620]
350,[298690]
351,[54630]
352,[200710]
353,[475580]
354,[88800]
355,[453860]
356,[172670]
357,[481070]
358,[445090]
359,[477340]
360,[376270]
361,[355690]
362,[71670]
363,[45660]
364,[89530]
365,[200470]
366,[15540]
367,[38870]
368,[448280]
369,[128540]
370,[450080]
371,[38110]
372,[64850]
373,[373110]
374,[356680]
375,[92870]
376,[333620]
377,[36570]
378,[78860]
379,[422040]
380,[466910]
381,[265740]
382,[227950]
383,[291230]
384,[138690]
385,[290650]
386,[156100]
387,[10120]
388,[226590]
389,[123040]
390,[32790]
391,[33160]
392,[259630]
393,[50540]
394,[105550]
395,[115960]
396,[45060]
397,[46120]
398,[475830]
399,[10470]
400,[417860]
401,[440320]
402,[382150]
403,[226950]
404,[131030]
405,[67900]
406,[273640]
407,[96250]
408,[273060]
409,[115440]
410,[82850]
411,[298870]
412,[103840]
413,[101970]
414,[52270]
415,[396470]
416,[240810]
417,[74600]
418,[30530]
419,[12620]
420,[8290]
421,[76080]
422,[43590]
423,[53580]
424,[101730]
425,[136540]
426,[36200]
427,[32620]
428,[24800]
429,[54930]
430,[493790]
431,[468760]
432,[488060]
433,[221800]
434,[263050]
435,[372170]
436,[72770]
437,[8250]
438,[303530]
439,[452400]
440,[80010]
441,[47560]
442,[93230]
443,[456070]
444,[74610]
445,[83470]
446,[99750]
447,[160600]
448,[41830]
449,[101140]
450,[79950]
451,[33230]
452,[34590]
453,[211050]
454,[64290]
455,[48530]
456,[178780]
457,[20760]
458,[103590]
459,[234920]
460,[317400]
461,[174880]
462,[217190]
463,[122310]
464,[225220]
465,[79370]
466,[23440]
467,[287410]
468,[33320]
469,[39230]
470,[204270]
471,[452160]
472,[33050]
473,[271980]
474,[412540]
475,[216080]
476,[462520]
477,[18470]
478,[63160]
479,[1630]
480,[109070]
481,[72020]
482,[13890]
483,[389030]
484,[36180]
485,[208350]
486,[144510]
487,[358570]
488,[382480]
