market_cap_krw,shares_outstanding,volume,value_traded,close_price,as_of_date,period_yyyyq,ticker,firm_id
91057472177,119341379,2451206,1829107088,763.0,20140331,2014-Q1,000040,37
1504732680000,101328800,249887,3702102750,14850.0,20140331,2014-Q1,000060,187
2577794872000,22812344,54901,6198534500,113000.0,20140331,2014-Q1,000120,5
237162000000,67280000,85589,304081475,3525.0,20140331,2014-Q1,000400,171
33825000000,5500000,1590,9681200,6150.0,20140331,2014-Q1,000520,245
11346273461500,47374837,59465,14183469478,239500.0,20140331,2014-Q1,000810,240
2406175393500,74958735,160064,5091817800,32100.0,20140331,2014-Q1,000880,647
22578112200,4855508,708,3247930,,20140331,2014-Q1,001000,287
1093032000000,38760000,130656,3693020850,28200.0,20140331,2014-Q1,001120,51
11094883200,1027304,4150,44821000,10800.0,20140331,2014-Q1,001140,90
769712410500,61824290,93900,1174542400,12450.0,20140331,2014-Q1,001230,145
46846744245,63737067,383879,280526045,735.0,20140331,2014-Q1,001290,252
90200486490,31211241,1214057,3699600505,2890.0,20140331,2014-Q1,001340,60
319860242100,152314401,586732,1240017555,2100.0,20140331,2014-Q1,001440,136
230484363120,320117171,1114761,800818220,720.0,20140331,2014-Q1,001510,70
206805960000,3640950,19845,1110921300,56800.0,20140331,2014-Q1,001630,479
2347855140620,248187647,1283667,12052096640,9460.0,20140331,2014-Q1,001740,67
164624545800,3695276,230,10278500,44550.0,20140331,2014-Q1,001940,36
253284885000,12061185,77214,1627264200,21000.0,20140331,2014-Q1,002020,539
99782050000,21691750,22125,100226800,4600.0,20140331,2014-Q1,002100,79
74901801900,14572335,245231,1246985415,,20140331,2014-Q1,002230,605
5733400000000,10520000,24973,13469159000,545000.0,20140331,2014-Q1,002380,520
1878000000000,60000000,127193,3935637900,31300.0,20140331,2014-Q1,002550,28
94984108705,50929817,14782768,27648449285,1865.0,20140331,2014-Q1,002700,295
344975751850,16466623,78077,1613948650,20950.0,20140331,2014-Q1,002810,242
114237409320,85251798,825696,1110207540,1340.0,20140331,2014-Q1,002880,134
426493629450,32933871,55044,712830300,12950.0,20140331,2014-Q1,002990,99
645000000000,6000000,45325,4948127000,107500.0,20140331,2014-Q1,003030,270
461647321200,11628396,1940,75751000,39700.0,20140331,2014-Q1,003090,131
186511273200,16360638,130652,1486226800,11400.0,20140331,2014-Q1,003220,133
112668861900,84713430,796157,1057050980,1330.0,20140331,2014-Q1,003280,678
21023055900,35392350,52051,30908694,,20140331,2014-Q1,003310,135
1098200000000,170000000,674181,4333166350,6460.0,20140331,2014-Q1,003450,516
