기사작성일,기사제목,기사본문,링크,연관기업
2025-09-02,&quot;데이터 전략 없으면 <b>AI</b> 경쟁에서 도태⋯韓 낙오 위기&quot;,인공지능(<b>AI</b>) 시대 기업 경쟁력은 데이터 전략에 달려 있다는 조사 결과가 나왔다. 개인정보·저작권 규제... 2일 한국인공지능·소프트웨어산업협회(KOSA) 산하 초거대<b>AI</b>추진협의회(공동회장사 네이버클라우드·LG... ,https://n.news.naver.com/mnews/article/031/0000961977?sid=105,네이버
2025-09-02,"LG전자·삼성메디슨, '신사업 육성' 외부 협력 확대",인공지능(<b>AI</b>) 기반 에너지 관리 플랫폼 '크라켄'을 보유했다. 실시간 재생에너지 가격 정보를 제공한다. 30개국 1000만명의 고객을 확보하고 있다. 양사는 LG전자 히트펌프 냉난방시스템과 옥토퍼스 크라켄을 연동할... ,https://www.techm.kr/news/articleView.html?idxno=143950,삼성
2025-09-02,"&quot;<b>AI</b> 사업 강화에 사활&quot;···KT·LGU+, 인재 채용 활발",KT와 LG유플러스가 인공지능(<b>AI</b>) 사업 강화를 위해 <b>AI</b> 인재 채용을 확대하고 있다. 김영섭 대표 취임 후 <b>AI</b> 인력을 1000명 이상 채용하며 <b>AI</b> 사업에 힘을 주고 있는 KT는 글로벌 <b>AI</b> 플랫폼 기업 팔란티어와 협업을 담당할... ,https://www.sisajournal-e.com/news/articleView.html?idxno=414921,LG
2025-09-02,"LG전자, 영국 최대 전력회사와 손잡고 '클린테크' 공략","또 자체 개발한 <b>AI</b> 기반 에너지 관리 플랫폼 크라켄(Kraken)을 통해 고객에게 실시간 재생에너지 가격 정보를 제공, 저렴한 에너지를 선택해 사용할 수 있도록 지원한다. 옥토퍼스의 크라켄과 LG전자의 고효율 히트펌프... ",https://n.news.naver.com/mnews/article/448/0000554043?sid=101,LG
2025-09-02,"네이버, 신선식품 새벽배송 본격화…쿠팡과 경쟁 치열","박 대표는 &quot;1인 가구 증가로 신선식품 수요가 꾸준히 확대되고 있어 새벽배송 시장은 성장성이 크다&quot;며 &quot;특히 <b>AI</b> 시대에 새벽배송 데이터는 소비 패턴을 예측하는 데 매우 유용한 양질의 데이터로, 다른 커머스 사업과의... ",https://www.ekoreanews.co.kr/news/articleView.html?idxno=81973,네이버
2025-09-02,"&quot;1400만개 데이터로 기업고객 업무효율↑&quot; LG U+, KODATA와 '기업·금융특...",(KODATA)와 '기업·금융특화 <b>AI</b>파운데이션 모델'을 공동 개발한다고 2일 밝혔다. [사진 LG유플러스] LG유플러스가 종합CB(신용평가사)인 한국평가데이터(KODATA)와 '기업·금융특화 <b>AI</b>파운데이션 모델'을 공동... ,https://www.nbnews.kr/news/articleView.html?idxno=113959,LG
2025-09-02,"LG전자, 英 옥토퍼스 에너지사와 클린테크 분야 전략적 협업 MOU","또 자체 개발한 <b>AI</b> 기반 에너지 관리 플랫폼 ‘크라켄(Kraken)’을 통해 고객에게 실시간 재생에너지 가격 정보를 제공, 저렴한 에너지를 선택해 사용할 수 있도록 지원한다. 이러한 혁신적인 솔루션으로 2016년 설립 이후... ",https://www.megaeconomy.co.kr/news/newsview.php?ncode=1065594735704007,LG
2025-09-02,"IAA 2025, 신형 전기차 대거 공개..현대차는 4년만에 참가","완성차 업체는 물론 전장과 배터리, IT(정보통신), 인공지능(<b>AI</b>) 등 다양한 분야의 기업들도 참가한다. 가장 이목이 쏠리는 분야는 완성차 업체의 신차 공개로, 주요 기업들마다 새로운 전기차를 대거 공개할 것으로... ",https://n.news.naver.com/mnews/article/014/0005400414?sid=103,현대차
2025-09-02,Naver's Whale Browser Targets Vietnam Market,"A Naver official explained, &quot;It is true that we are preparing to launch an <b>AI</b>-based web browser... To this end, they added numerous <b>AI</b> functions earlier this year to secure global... ",https://www.businesskorea.co.kr/news/articleView.html?idxno=250898,naver
2025-09-02,"LG전자·삼성메디슨, '신사업 육성' 외부 협력 확대",<b>인공지능</b>(AI) 기반 에너지 관리 플랫폼 '크라켄'을 보유했다. 실시간 재생에너지 가격 정보를 제공한다. 30개국 1000만명의 고객을 확보하고 있다. 양사는 LG전자 히트펌프 냉난방시스템과 옥토퍼스 크라켄을 연동할... ,https://www.techm.kr/news/articleView.html?idxno=143950,삼성
2025-09-02,"&quot;AI 사업 강화에 사활&quot;···KT·LGU+, 인재 채용 활발",KT와 LG유플러스가 <b>인공지능</b>(AI) 사업 강화를 위해 AI 인재 채용을 확대하고 있다. 김영섭 대표 취임 후 AI 인력을 1000명 이상 채용하며 AI 사업에 힘을 주고 있는 KT는 글로벌 AI 플랫폼 기업 팔란티어와 협업을 담당할... ,https://www.sisajournal-e.com/news/articleView.html?idxno=414921,LG
2025-09-02,"IAA 2025, 신형 전기차 대거 공개..현대차는 4년만에 참가","완성차 업체는 물론 전장과 배터리, IT(정보통신), <b>인공지능</b>(AI) 등 다양한 분야의 기업들도 참가한다. 가장 이목이 쏠리는 분야는 완성차 업체의 신차 공개로, 주요 기업들마다 새로운 전기차를 대거 공개할 것으로... ",https://n.news.naver.com/mnews/article/014/0005400414?sid=103,현대차
2025-09-02,"삼성·LG, 유럽서 AI 스마트홈 시장 주도권 경쟁",두 회사는 오는 5일(현지시각)부터 9일까지 독일 베를린에서 열리는 유럽 최대 가전 전시회 'IFA 2025'에서 <b>인공지능</b>(AI) 기반 스마트홈 전략을 공개한다. AI 전략이 향후 10년 동안 글로벌 가전 시장 주도권을 가를 핵심... ,https://www.newspim.com/news/view/20250902000849,삼성
2025-09-02,민간 과학기술 후원 서비스 플랫폼 나온다… 과학인재에 러브콜 보내는...,"현재 삼양뿐 아니라 삼성전자, 한화생명, 보령 등과 후원 프로그램을 진행 중이고, 반도체·<b>인공지능</b>(AI)·로보틱스 기업과의 협업도 앞두고 있다. 기업의 후원 방식도 다양해지는 추세다. 보령은 청소년 우주과학 경진대회... ",https://n.news.naver.com/mnews/article/469/0000884919?sid=105,삼성
2025-09-02,"가전에서 서비스로…삼성·LG, AI 활용 고객 편의성 경쟁 가속화",삼성전자 제공 삼성전자와 LG전자가 가전과 <b>인공지능</b>(AI) 기술을 결합한 'AI 홈' 사업을 놓고 경쟁하고 있는 가운데 본격적으로 제품을 넘어 서비스까지 가전 전 영역에서 AI 기술력을 확대하고 있어 주목된다. 제품의 AI... ,https://www.straightnews.co.kr/news/articleView.html?idxno=280240,삼성
2025-09-02,"LG유플러스, KODATA와 기업·금융 특화 AI 모델 개발",LG유플러스는 종합 신용평가사(CB)인 한국평가데이터(KODATA)와 협력해 기업·금융 특화 <b>인공지능</b>(AI) 파운데이션 모델을 공동 개발한다고 2일 밝혔다. ▲LG유플러스 직원들이 금융 특화 AI를 소개하고 있다. [사진... ,https://www.megaeconomy.co.kr/news/newsview.php?ncode=1065594304590915,LG
2025-09-02,"LG전자, 영국 옥토퍼스 에너지와 클린테크 협력 강화",이번 협약은 LG전자의 고효율 히트펌프 냉난방 시스템과 옥토퍼스의 <b>인공지능</b> 기반 에너지 관리 플랫폼 '크라켄'을 연동한 솔루션을 유럽 주요 시장에 선보이기 위한 것이다. 이 솔루션은 최근 몇 년간 에너지 위기와... ,http://www.newsroad.co.kr/news/articleView.html?idxno=45043,LG
2025-09-02,"야구, 숫자로 말하다① - WAR과 스케일링 설계하다, LG트윈스 김지예 사...","더 나은 분석을 위해 <b>머신러닝</b> 기술을 배우고 싶다는 꿈도 있다. &quot;제가 만드는 데이터가 팀에 도움이 되고, 그게 누군가의 경기력 향상으로 이어지는 걸 보면 큰 보람을 느껴요. 단 한 명의 선수라도 제 데이터를 보고 '이거... ",https://m.sports.naver.com/kbaseball/article/529/0000073147,LG
2025-09-02,[C레벨 프리즘] '전략통' 박상수 현대오토에버 CFO에 쏠리는 눈,증권가에서는 향후 현대오토에버가 현대차그룹 로보틱스 신사업과 연계해 로봇 학습(<b>딥러닝</b>) 및 관제 담당 사업을 영위할 수 있을 것이라는 분석이 나온다. 실제 현대차그룹은 로봇 자회사 보스턴다이내믹스를 통해... ,https://dealsite.co.kr/articles/147388,현대차
2025-09-02,"정부, 보이스피싱 ‘무과실 배상’ 추진…은행권, 이중 부담 우려 확대","하나은행은 AI <b>딥러닝</b> 기반의 FDS를 운영하고, 모바일 앱에 보이스피싱 앱 탐지 기능을 탑재했다. 우리은행은 경찰청·금융보안원과 협력해 의심 해외계좌 관리 시스템을 구축하고, LG유플러스와 협약을 체결했다.... ",https://www.news2day.co.kr/article/20250901500233,LG
2025-09-01,"[단독] 삼성전자, 中 공중·우주 통신 네트워크 핵심 특허 확보…드론·...","복잡한 연산을 단순화해 <b>딥러닝</b> 모델의 효율을 높이는 기술로, 모바일·엣지 환경에서의 AI 가속화에 직접 연결된다. 이 외에도 메모리·연산 자원 소모를 줄이면서 성능을 유지하는 모델 경량화 관련 특허들이... ",https://www.theguru.co.kr/news/article.html?no=91202,삼성
2025-09-01,"LG AI 이끄는 이홍락・임우형, ‘기업・소비자・학술’ 모두 챙긴다",그는 세계 10대 AI 연구자로 선정될 만큼 머신러닝과 <b>딥러닝</b> 분야에서 탁월한 권위를 인정받고 있는 석학이다. 이 원장은 2020년 LG AI연구원에 합류해 LG의 글로벌 AI 전략을 총괄하며 차세대 기술 확보와 인재 육성을... ,http://www.fntimes.com/html/view.php?ud=2025090115300262617fd637f543_18,LG
2025-09-02,"금융노조, 주 4.5일제 요구…오는 26일 총파업 예고","은행연합회 자료에 따르면 지난해 5대 시중은행 직원 평균 연봉은 1억1000만원을 넘어섰고, 올해 상반기 평균 급여 역시 6300만원 수준으로 삼성전자나 현대<b>자동차</b> 등 국내 주요 제조기업보다 높다. 게다가 영업점 업무... ",https://www.cstimes.com/news/articleView.html?idxno=664888,삼성
2025-09-02,[기획]고조되는 노사 갈등…산업계 전반 '파업 전운',현대<b>자동차</b>에도 파업 전운이 감돌고 있다. 지난달 25일 현대차 노조는 전체 조합원(4만2180명)을 대상으로 쟁의행위 찬반투표를 진행했으며 투표 결과 86.15%가 찬성해 파업권을 획득했다. 이로써 현대차는 7년 연속... ,http://www.m-i.kr/news/articleView.html?idxno=1277244,현대차
2025-09-02,SK하이닉스가 쏘아올린 성과급 상한제 폐지…재계 전반에 파장,"그동안 '불문율'처럼 여겨졌던 성과급 상한 기준을 없앤 이번 결정은 삼성전자, 현대<b>자동차</b>, HD현대중공업 등 임금·단체협약 교섭을 앞둔 기업들에도 영향을 미칠 것으로 보인다. SK하이닉스 노사는 9월 1일 임단협... ",http://www.queen.co.kr/news/articleView.html?idxno=441446,삼성
2025-09-02,"IAA 2025, 신형 전기차 대거 공개..현대차는 4년만에 참가","2일 <b>자동차</b> 업계에 따르면 IAA 모빌리티 2025에는 전세계 45개국 1000여개 업체가 참가한다. 완성차 업체는 물론 전장과 배터리, IT(정보통신), 인공지능(AI) 등 다양한 분야의 기업들도 참가한다. 가장 이목이 쏠리는... ",https://n.news.naver.com/mnews/article/014/0005400414?sid=103,현대차
2025-09-02,"현대차 한마음가족봉사회, 충남 아산 곡교천 수해 폐기물·생활쓰레기 ...",충남 아산시자원봉사센터(센터장 김기창)와 현대<b>자동차</b> 한마음가족봉사회(회장 박병규)가 지난달 31일 곡교천시민체육공원 일대에서 대대적인 환경정화활동을 전개해 눈길이다. 이날 환경정화활동은 최근 집중호우로... ,https://www.ccdn.co.kr/news/articleView.html?idxno=1037941,현대차
2025-09-02,'충남형 탄소중립 선도 정책' 국제사회 확산,"기업 발표에서 현대제철은 '탄소중립 HY3 프로젝트'를 통한 이산화탄소(CO₂)제거 기술을 공유했으며, 현대<b>자동차</b>는 수소 기반의 미래 운송 전략을 소개했다. 삼성디스플레이는 에너지 효율 확대 성과와 재생에너지 100... ",https://www.ccdn.co.kr/news/articleView.html?idxno=1037988,삼성
2025-09-02,"&quot;최대 680만 원 할인&quot; 현대차, 9월 쏘나타·그랜저 하이브리드 파격 혜택","현대<b>자동차</b>가 9월 'H-Super Save' 기획전을 통해 주력 세단인 쏘나타와 그랜저 하이브리드에 대규모 할인 혜택을 제공한다. 이번 기획전은 한정된 재고 물량에 따라 조기 마감될 수 있으며, 전국 영업점을 통해 참여... ",https://www.autodaily.co.kr/news/articleView.html?idxno=535751,현대차
2025-09-02,"충남도, 탄소중립 국제 콘퍼런스 개최…&quot;대한민국 탄소중립 선도&quot;","기업 세션에서는 현대제철의 'HY3 프로젝트' 탄소감축 기술, 현대<b>자동차</b>의 수소 기반 운송 전략, 삼성디스플레이의 재생에너지 전환 계획, HD현대오일뱅크의 친환경 연료 생산 계획 등이 소개됐다. 김태흠 지사는 &quot;충남은... ",https://n.news.naver.com/mnews/article/277/0005645722?sid=102,삼성
2025-09-02,"'이재용·이부진·이서현' 삼성가, 상반기 자산 10조 늘었다",3위 이부진 사장에 이어 4위는 정의선 현대<b>자동차</b>그룹 회장으로 상반기 자산이 1조8348억원 늘어 총 5조5780억원이 됐다. 현대글로비스 무상증자 효과로 보유 지분 20%의 가치가 두 배 이상 뛰면서 1조7000억원... ,http://www.shinailbo.co.kr/news/articleView.html?idxno=2109322,삼성
2025-09-02,중국 BYD가 언제 현대차를 앞질렀어? 8월까지 13만대 더 팔아,"중국 BYD가 글로벌 판매량에서 현대<b>자동차</b>를 앞질렀다. BYD는 8월 글로벌 판매량이 37만3,626대를... 한편, 현대<b>자동차</b>의 1-8월 글로벌 누적 판매량은 0.2%가 증가한 273만8,841대를 기록했다. 이 가운데 국내... ",https://www.autodaily.co.kr/news/articleView.html?idxno=535750,현대차
2025-09-02,“충남이 하지 않으면 탄소중립 불가”…국제사회에 확산 나선 충남형 ...,"현대제철은 'HY3 프로젝트'를 통한 이산화탄소 제거 기술을, 현대<b>자동차</b>는 수소 기반 운송 전략을 공유했다. 삼성디스플레이는 에너지 효율 개선과 재생에너지 전환 계획을, HD현대오일뱅크는 설비 개선과 친환경... ",https://www.ekn.kr/web/view.php?key=20250902027572904,삼성
2025-09-02,"현대차, 소형 EV 콘셉트카 'Concept THREE' 티저 공개",현대<b>자동차</b>(005380)가 전용 EV 브랜드 아이오닉의 첫 소형 콘셉트카 공개를 예고했다. 현대차는 2일 소형 EV 콘셉트카 'Concept THREE(이하 콘셉트 쓰리)'의 티저 이미지를 공개했다. 티저 이미지는 현대차가 소형 EV를... ,http://www.newsprime.co.kr/news/article.html?no=702682,현대차
2025-09-02,"[모빌로그] 현대차, 소형 EV 콘셉트카 ‘쓰리’ 티저 공개 外","국제<b>자동차</b>연맹(FIA) 주관 세계 최정상급 모터스포츠 대회 ‘2025 월드 랠리 챔피언십(WRC)’의 10라운드... 글로벌 조사기관에 따르면, 멕시코는 2024년 <b>자동차</b> 등록 대수가 역대 최고치를 기록했으며, 이에 따라 타이어... ",https://news.dealsitetv.com/articles/158743,현대차
2025-09-02,"장기렌트·리스 전문 브랜드 ‘투데이즈카’, ‘네이버 AI 브리핑’에 소...",최근 <b>자동차</b> 장기렌트·리스 전문 중개 에이전시 ‘투데이즈카’가 장기렌트 업계 최초로 네이버 AI 브리핑... “특히 <b>자동차</b> 장기렌트·리스처럼 신뢰도가 중요한 서비스에서 큰 경쟁력이 될 것”이라고 분석했다.... ,https://www.megaeconomy.co.kr/news/newsview.php?ncode=1065592859297459,네이버
2025-09-02,'충남형 탄소중립 선도 정책' 국제사회 확산,"기업 발표에서 현대제철은 '탄소중립 HY3 프로젝트'를 통한 이산화탄소(CO₂)제거 기술을 공유했으며, 현대<b>자동차</b>는 수소 기반의 미래 운송 전략을 소개했다. 삼성디스플레이는 에너지 효율 확대 성과와 재생에너지 100... ",http://www.cctimes.kr/news/articleView.html?idxno=863621,삼성
2025-09-02,"현대차, 소형 EV 콘셉트카 ‘콘셉트 쓰리’ 티저 공개","▲현대차, 소형 EV 콘셉트카 ‘Concept THREE’ 티저 공개 이미지/사진=현대차 제공  현대<b>자동차</b>가 전용 전기차 브랜드 아이오닉의 첫 소형 EV 콘셉트카를 선보인다. 현대차는 2일 소형 EV 콘셉트카 ‘콘셉트 쓰리(Concept... ",https://www.socialvalue.kr/news/view/1065593734627742,현대차
2025-09-02,한화손해보험 'NUMA' 참여…모빌리티 생태계 구축 일조,"캐롯손보 인수를 앞둔 한화손해보험이 현대<b>자동차</b>그룹, 국토교통부 등과 손잡고 미래 모빌리티 생태계... 현대<b>자동차</b>, 기아, 네이버, KT 등 기업과 국토교통부, 행정안전부 등 정부기관, 경기도, 강원도 등 지자체... ",http://www.finomy.com/news/articleView.html?idxno=237868,네이버
2025-09-02,[브리프] 한화생명 한화손보 신한EZ손보 DB손해보험 흥국화재,"ㅣ한화손해보험 캐롯손보 인수를 앞둔 한화손해보험이 현대<b>자동차</b>그룹, 국토교통부 등과 손잡고 미래... 현대<b>자동차</b>, 기아, 네이버, KT 등 기업과 국토교통부, 행정안전부 등 정부기관, 경기도, 강원도 등 지자체... ",http://www.biztribune.co.kr/news/articleView.html?idxno=339426,네이버
